hash,move,score - This file contains all positions with 4 to 6 moves on a 8x7 board.
72341272366613253,3,-3
72903122841829643,3,-4
72340190034723589,4,0
72903122808276485,4,4
72340172855181579,4,4
72340172855640325,3,3
72340172855182085,2,5
72621647831566085,1,-1
72340172972425477,1,25
72340172888539909,3,-6
72340172905513221,3,5
72344570901365509,3,-3
72903127103243013,3,-3
216456460442338053,4,-5
72340177200283909,1,25
216455360930711045,4,4
72340172888801541,2,4
72340181445116165,4,6
144399965916037387,3,3
72341280956416773,3,5
72341272416944389,1,25
72342371911664389,3,-5
72903122808602885,4,4
360571648501547270,5,4
72621656421499653,3,3
72340177150214405,2,5
72621647882027269,1,25
72340181478473989,2,-3
72340172888408843,5,-6
216455360931037445,4,4
72342371878437125,4,4
72621647831696133,3,-3
144397766943244549,1,25
72903127103373573,3,3
72341280956547333,5,4
216455360930709782,3,-4
72342371911794949,3,-3
72342376173207813,3,3
72903122841830149,1,-5
216455360964395269,2,-5
216455365225808133,3,-3
72621656421630213,2,3
72903122841960709,2,-5
72340173005849093,4,6
144397775482716933,4,4
72341272366874885,5,4
72340173005848842,4,9
72904222320034053,3,3
72340190034854149,4,-3
72340190085054725,2,24
73466072761697029,3,-2
72621647831957765,2,3
72340172905186821,1,3
72344570901496069,3,2
72340173173620997,1,2
72344570951696645,2,24
72340177300816133,4,6
360571648501416455,5,2
360570549006565643,3,-2
72621656471830789,2,24
72623846905151749,2,24
72903127153574149,3,4
216455365276008709,3,0
216455360964264709,3,-6
144397775533048069,2,24
144399965966369029,2,24
72340172989071627,4,2
72621647982559493,2,6
72340181562228997,2,24
72340173005914373,3,4
144397767043776773,4,8
73466072761827589,3,2
72342376223408389,5,2
72340198658212101,4,5
72341272517476613,5,5
72903122942492933,3,3
72340194380022021,1,5
72623846838108933,2,3
144397775482847493,3,3
144397766892783365,3,2
144397766892912907,3,-2
360570549056897285,3,2
72340194329690885,2,-4
360570549006566149,3,0
72340194329821445,4,5
72342393352945925,3,3
216456460492669189,3,0
216736835957752069,3,3
360570549006696709,3,3
72903144283111685,2,0
144397766892781847,3,-3
217862735797551365,4,3
72341298136285445,4,7
72342371995549957,2,24
144960716846334213,3,3
216455361064927493,3,-1
144397766892782347,3,0
72623846854951173,3,2
216739034913964293,5,3
72340172989202693,3,2
72341281006747909,5,2
72340172989072133,3,0
72340181579006213,3,3
72340194329690379,2,-2
72346774219587845,5,5
216455382405546245,5,-3
73466072812028165,1,2
72905326126498053,3,-2
216736835907551493,3,-4
216457564248932613,3,-3
72345670413123845,5,5
216456460442468613,5,-2
216457559987519749,3,-2
73466072761696523,2,-4
72621673601368325,4,5
72342372012327173,3,3
72345679002927365,3,7
144397766892913413,3,2
216455369554198789,3,0
72904230909837573,3,3
72905321865085189,4,-3
72342380501598469,6,-3
72903131431764229,3,0
360570553318310149,4,5
216736844497355013,4,3
72345670412992779,4,3
72340172888408343,4,-7
74029027010085125,2,0
144397792662585605,4,6
