hash,move,score - This file contains all positions with 4 or 5 moves on a 8x7 board.
72340172872352002,3,4
144399965899587842,3,6
72903122792218882,3,2
72340172905316612,4,25
72342376156627202,4,6
72340177133437442,2,3
72340172905316866,4,0
72342376156430850,4,3
72340172888801538,2,5
72621647882027266,4,25
144397766943244546,4,25
72340177150214402,2,6
72341272366874882,2,6
144684739410854147,4,3
144403268729110787,6,-3
144397775466266882,2,7
72621647815573762,4,2
72904222303453442,3,0
72621656405049602,4,7
144403264434209027,6,-1
144403264450920707,4,3
144961816341053955,5,1
144397766876136706,4,1
72621647831957762,2,5
216456460425691396,5,3
72340194329821442,2,6
72341272416944386,4,0
73466077039887106,4,-3
72340172854985986,3,-4
72903127086596356,4,-1
72340177133895938,2,6
72621656421630210,2,5
72340172905513218,2,4
72341280956547330,4,3
144681440892748035,3,2
144960716829426946,4,1
73747547721761282,5,5
72903127103373570,4,3
72345670413123842,2,5
72340194313044482,4,6
72340190018076932,3,25
72340172989202690,3,0
72342376173207810,2,3
72340185723371778,2,0
72904222320034050,3,3
72341276645064962,2,3
72621664994787586,3,25
144397784056004866,3,25
144397775482847490,4,3
73747547721957634,2,6
72623846854951170,3,3
72623846838108930,2,0
216455365209030916,4,-2
72621652143440130,3,1
72340177217061122,3,6
72621652110147842,2,3
72340190018077186,5,0
72341276678357250,3,3
72341272350556418,2,5
216455360914260228,2,5
144397771204657410,3,2
72341289529704706,4,3
72340177133176066,4,-4
72622747326808322,2,6
72340177200283906,3,-4
72341272433721602,3,6
72622747360100610,4,5
144399965916168450,3,4
144399970211004675,4,0
144398866421317890,4,5
144397766876791042,4,2
72340211492913410,4,1
72343471373353218,2,4
144398866388025602,2,6
72343471406645506,3,2
72903127086596610,4,2
72345670396346882,3,3
72340181478473986,2,1
144681440876036355,5,0
72340177133830402,4,1
144403264434143747,5,4
144409861503910147,2,-2
72622755916480770,4,7
72345674691313922,3,0
72343479963025666,2,3
73184597768601858,2,7
144397771171365122,2,4
73184597801894146,4,25
144399974489195010,3,25
72340185756664066,4,-5
73184606358274306,3,25
144399965932814850,4,25
144404363945771522,3,8
144399965916037635,3,1
72340190018273538,2,5
73748647233388802,4,3
72621647815639298,2,6
144398874977698050,4,7
72344570884915458,3,2
144399965916102915,3,2
72623846838370562,3,3
72621669289754882,5,6
72342384746365186,2,-2
72623851133141250,4,6
72341280939966722,4,6
72344570884719106,2,3
144399965899522306,4,1
144399974489194756,3,25
73466072745246978,3,3
144399965932814596,4,25
72350068442857730,4,3
144397766876856578,4,7
72342371911794946,3,-3
72627145373057282,4,6
72344575179686146,5,0
72344570884718852,5,1
144399970194227462,4,1
73747547738538242,4,2
144404363945771268,3,8
72340190034854146,2,-2
72344570901496066,3,-2
144399978784162051,4,-3
74873447628603650,4,4
72621647898804482,3,6
144397766893175042,2,3
73466072761827586,3,0
72626045861429506,3,0
72340181461565956,5,25
72903122841960706,3,-3
72340181461565704,0,7
72340181461631236,4,7
73747552016728322,5,0
72621656438276356,2,25
144397775499493636,2,25
72341280973193476,3,8
72342371894886916,4,25
72340181511897348,3,6
72340172871631122,4,7
72621647915450628,3,18
144399970194292995,5,-3
73186796791595266,2,4
72340172871696649,3,2
73466072745050372,2,5
144399965899260931,4,-3
144403264434143494,5,6
72340172938740228,3,10
72341272450367748,4,8
72342371894886664,0,5
72340172921962761,3,3
144397766909559049,3,6
144399970194227715,4,-3
72621647848341769,2,5
144399965899261186,5,5
144397766976667908,3,18
72340172938805508,3,6
72903122825117956,3,6
144399965899456771,2,-3
144397788350972162,4,6
72906421326512386,2,-3
72342376189853956,3,3
72341272383258889,5,3
72340172871632132,4,6
72342371894952196,3,6
72340172938739976,0,7
72903122825052424,0,3
72341293824672002,6,4
72340173056180738,2,6
72340172938740738,3,12
72340173056180484,3,7
72340177233707268,3,6
144397766976668162,3,11
72340181461566466,5,25
72621647915450882,3,10
72340181511897602,2,2
144399965899260422,3,5
72904226598224130,4,4
144397766909560066,4,6
144397775499493890,5,25
72342371894887426,4,25
72621656438276610,3,10
72342371945218562,2,3
216455360947486984,0,3
72345670429769988,4,6
144397766960021762,3,7
72903127120019716,3,3
72340181461631490,4,7
72903135676530946,4,-5
72903122875384322,2,2
72340177166599426,3,0
72340172938805762,2,7
72623846871597316,3,6
144399965899325955,3,3
144681440875971075,6,3
72341280973193730,3,6
72903122825052676,3,7
144679263327551747,5,2
144681440875971330,2,3
72340172871893252,4,25
72340172871697666,3,3
72340194346467588,3,6
72340177233707522,3,6
144399965949591811,3,-4
72341272383259906,3,5
72621647848603906,4,25
144397766909821186,4,25
72904222303256836,5,5
72340173056246018,1,5
72340172921963778,3,3
72621647848342786,4,3
144399965916037382,5,3
216455360947552516,3,3
72340172871893506,2,1
72340181511962882,1,4
72903122825118210,3,7
72342371894952450,3,6
72623846871597570,3,6
72341280973259010,2,3
144399965899325702,3,2
72342371945283842,1,3
72340181461762306,2,3
144680349954277635,4,4
72621656438341890,4,6
72340177233772802,4,7
72341272450368002,3,7
72903122875449602,1,-2
72340172938936578,3,5
72903122825053186,3,4
72340172872220930,3,4
144398887862468867,6,1
72340194346533122,4,8
72342371895083266,2,3
72345670429770242,3,6
144397775499559170,4,9
72342376189919490,3,3
72903122825249026,3,3
72903122875384068,3,6
72621647915516162,3,7
72341272383521026,3,2
72345670429835522,3,6
72340173022626562,1,0
72342376189854210,3,5
144397766976733442,3,7
145242200396071171,3,2
72341272450433282,3,6
72340172871633410,3,7
72340194396799234,2,5
72903127120085250,3,4
72340173257507074,3,2
72904222336680450,3,6
144679250459427075,4,4
72340172871631369,3,5
73747547755184388,3,6
144398874994344195,4,3
72345670480101634,4,6
72903127170351362,2,0
72341281023525122,3,7
72904222387011842,2,3
73747547755249922,3,5
72904222336745730,3,5
144397788367618307,5,0
144397775549825282,3,6
144398874977632515,4,2
72621656488608002,3,6
73747547755184642,3,6
72342376240185602,5,5
144397788350906627,3,-3
72342371945218308,5,5
72340190051500292,2,25
72340190051500546,5,25
72340172838798082,2,2
144397814120644867,5,-3
72903127120019970,3,3
72903122976047362,2,-3
72621665028210946,2,25
144397775533048066,5,25
72340177351147778,3,6
72904222336680196,5,3
72342372045881602,5,2
72340190101831938,3,3
72623846921928962,3,5
72340194346467842,4,6
72340190051565826,3,2
144401074000822531,4,0
72340185823641858,3,6
72341276745335042,3,6
72340172922224898,3,4
72341272567808258,3,7
72622747427078402,3,10
144397792645873922,3,9
72623846871662850,3,5
73747552050151682,3,6
72622755949904130,3,10
72344570918142212,4,25
72344570918142466,4,25
72341272551031042,3,4
72345674724737282,3,6
72340181612560642,3,5
72341289563128066,5,3
72343471473623298,3,6
144397775466201346,3,25
72344570968473858,3,3
72344570918207746,2,2
72341293858095362,3,6
72340173022757122,2,5
144679250442649862,4,6
144397771271635202,3,6
73184597868871938,3,17
72621652210417922,3,6
72340173039468802,3,6
73184606391697666,2,25
